N,Page,Channel ID,Name,Author,Description,percentage,Tags
1,1,624218,af104-uwz,griesu62,Ultraschall-Wasser-Zähler,100,af104-uwz
2,1,1785844,Wind Power Smart Mon...,mwa0000022903516,This channel is used to monitor the wind speed and carry out analysis on the effect of all these parameters on wind turbine power generation,85,"wind power,wind speed"
3,1,2862014,Power Grid Smart Mon...,mwa0000023143801,This channel is used to monitor the grid frequency and voltage and carry out analysis on the effect of the parameter in power quality. Source Data Channel ID: 2334377,85,"monitoring,power,voltage"
4,1,2057381,Wind and Solar Power...,mwa0000019059637,"Channel is used to monitor wind and solar power, and is also capable of using wind speed to calculate wind power and voltage to calculate the power output of both the wind and solar sources.",85,"wind power,solar power,wind speed"
5,1,2725739,WasserstandAmUfer,mwa0000035819954,Wasserstand im Gully unter der Tiefgarage in Hafen 4 / Ufer 8,85,"dresden,uferstraße,hafenstraße,gulli,tiefgarage,wasserstand,elbe,pegel,regen,elbpegel"
6,1,357142,Air quality with SDS011,tthosta,"Location: Germany (BW); 
Measurement of air quality with SDS011 sensor and raspberry pi.",85,"air quality,sds011,pm2.5,pm10,raspberry pi,bme280,temperature,pressure,humidity"
7,1,838448,DTT,chrisyuk,DTT stream bitrate analysis,85,"dvb-t,freeview,dvb,dtt"
8,1,1622086,Wetter Hennesee,dl8dbn,Temperatursensor LoraWAN Hennesee,85,"hennesee,amateurfunk sauerland,friedensglocken"
9,1,2723786,æ_datalog_01,acusticæscolar,"datalogger with ESP32
Senseair S8 / BME680 / BH170/PMS7003/ I2C Decibel Sound Level Meter Module",85,"datalogger,acusticaescolar,confort360"
10,1,271958,Wetterstation Meschede,dl8dbn,Wetterstation mit ESP 8266,85,"wetterstation,meschede,sauerland"
11,1,3259214,Weather Report,mwa0000040104858,Esp8266  measurement sensor.,85,"dht11,sensor"
12,1,3190432,EMBEDDED SYS IOT FOR...,mwa0000038072470,EMBEDDED SYS IOT FOR AGRICULTURE,85,mykmutnb_ntp agriculture
13,1,3190420,EMBEDDED SYS IOT FOR...,mwa0000019318858,MOBILE DATA,85,"mykmutnb_stn,agriculture"
14,1,3232826,Weather,CodeCarter,Testing phase of Project Zeus will over see all environmental metrics.,85,"weather,environment,data"
15,1,1583390,Dare's Micropython E...,darethehair,Test BME280 with new NodeMCU code,85,"bme280,weather,temperature,pressure,humidity,dewpoint,micropython,esp32"
16,2,1595772,Sensoriamento_Ambiente,cefetleo,Canal para teste de Disciplina de IIoT,85,"temperatura,umidade,openweather"
17,2,1350261,CO2 Measurement,tthosta,"Location: Germany (BW); 
Measurement of air quality with  ccs811 sensor and raspberry pi.",85,"raspberry pi,bme280,temperature,pressure,humidity,ds18b20,ccs811,mh-z19"
18,2,2353644,Estacion Meteorologi...,mbarchetta54,Establecimiento EL MIMBRAL,85,"barchetta,marcelo"
19,2,3254686,ArduinoSolar,mwa0000019456326,Monitoreo de panel solar,85,panelsolar
20,2,3229434,Flood monitor in City A,mwa0000040148415,City A: Flood status,80,
21,2,3251747,METAHOLOWAY,thetaleszafran,RMC Metaholoway Data Website,80,
22,2,678821,Hive Monitor,awround,Bee hive monitor,70,"beehive,hive,monitor"
23,2,1292004,EDM ROOM,mwa0000018733998,EFICIENCIA EN MAQUINAS,70,uptime
24,2,938453,Lämpötilat Alakerta,mwa0000017101863,Lämpötilat Röykkä,70,temperature
25,2,518150,Data test channel,tthosta,Location: Germany (BW);,70,test data
26,2,2601398,IOT PLANT MONITORING...,mwa0000033944826,an iot plant monitoring device,70,"iot,plant,sensor,monitoring"
27,2,1220825,Lampotila,mwa0000020240855,Seurattavat lampotilat,70,"m1,m2,m3,m4,m5,m6,m7,m8"
28,2,694112,MP_SMOG_Nettigo,misiopie,Nettigo Luftdaten-like SMOG sensor,70,"luftdaten,nettigo"
29,2,424836,Wondecla Power,thingspeak1953,"Off Grid Solar & Wind system.
15 min average readings plotted here.
5 min readings available at PVOutput.",70,"wondecla,solar,wind,off grid"
30,2,951795,Medida de Punto de R...,profedetecno,Utiliza los datos ambientales para determinar el punto de rocío.,70,"punto de rocío,temperatura,humedad,san vicente,profedetecno"
31,3,1677046,Temperature Sensor,smarthsalaria,LABMST DIOT LAB 4538,70,"matlab,api"
32,3,2462841,Solar System Monitoring,mwa0000029769359,This channel aims to monitor the performance of a mini solar panel system and its capability in power and energy generation to meet load demands.,70,"monitoring,solar power,power generation,energy,solar,load"
33,3,701593,Des Gartenimkers Sto...,jokuder,Beelogger #1,70,beelogger
34,3,8203,Simba wa Yuda water ...,TonyZurolo,Water Level Sensor at Simba wa Yuda academy in Tanzania,70,mobiledata
35,3,1807857,Paul's Test,mwa0000026824699,Training setup,70,weather
36,3,582000,Chiara's Tulipano,charli0d,Those are the marvelous Chiara's Tulips!!,70,"dew,sensor,humidity,temperature"
37,3,957670,Bienenwaage Frauenberg,mwa0000017249719,Frauenberg/Brunn,70,beelogger
38,3,3147069,Dew Point Measurement,khWon25,"온도와 습도를다른 채널에서 읽어와 이슬점을 계산, 기록",70,"korea,inu,dew point"
39,3,3263293,Proyecto IoT 2mnt Co...,mwa0000040454522,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,70,"iot,60et3,ieslafuensanta"
40,3,3263298,PROYECTO Iot Sánchez...,mwa0000040454593,RECOGIDA DE DATOS DE LOS SENSORES DE TEMPERATURA,70,"iot,60et3,ieslafuensanta"
41,3,3263307,Proyecto IoT Sergio ...,mwa0000040454675,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,70,"iot,60/3_ieslafuensanta"
42,3,3263297,proyecto IOT 2 mnt  ...,mwa0000040454561,recogida de datos de sensores ldr con wemos d1 mini,70,"iot,60et3 ieslafuensanta"
43,3,3263303,Proyecto Iot 2mnt Dí...,mwa0000040454539,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,70,"iot,60et3,ieslafuensanta"
44,3,3263302,Proyecto IoT 2mnt Pe...,mwa0000040454602,Recogida de datos sensores de proyecto IoT,70,ies la fuensanta iot 60et3
45,3,3263295,Proyecto Iot 2 mante...,mwa0000040454535,recogida de datos de ldr y sensor de temperatura con wemos d1,70,"iot,60et3,ieslafuensanta"
46,4,3263292,Proyecto IoT 2ºMNT_G...,mwa0000040454526,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 Mini,70,"iot,60 et3,ies la fuensanta"
47,4,3263294,Proyecto IOT 2ºMante...,mwa0000040454524,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,70,"iot,60/3_ieslafuensanta"
48,4,3263296,Proyecto IoT 2mnt ló...,mwa0000040454570,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini.,70,"iot,60et3,ieslafuensanta"
