N,Page,ID,Name,Author,Description,Tags,Sensors
1,1,624218,af104-uwz,griesu62,Ultraschall-Wasser-Zähler,['af104-uwz'],['ultraschall']
2,1,1785844,Wind Power Smart Mon...,mwa0000022903516,This channel is used to monitor the wind speed and carry out analysis on the effect of all these parameters on wind turbine power generation,"['wind power', 'wind speed']",['power']
3,1,2862014,Power Grid Smart Mon...,mwa0000023143801,This channel is used to monitor the grid frequency and voltage and carry out analysis on the effect of the parameter in power quality. Source Data Channel ID: 2334377,"['monitoring', 'power', 'voltage']","['voltage', 'power']"
4,1,2057381,Wind and Solar Power...,mwa0000019059637,"Channel is used to monitor wind and solar power, and is also capable of using wind speed to calculate wind power and voltage to calculate the power output of both the wind and solar sources.","['wind power', 'solar power', 'wind speed']","['voltage', 'power']"
5,1,2725739,WasserstandAmUfer,mwa0000035819954,Wasserstand im Gully unter der Tiefgarage in Hafen 4 / Ufer 8,"['dresden', 'uferstraße', 'hafenstraße', 'gulli', 'tiefgarage', 'wasserstand', 'elbe', 'pegel', 'regen', 'elbpegel']",[]
6,1,357142,Air quality with SDS011,tthosta,"Location: Germany (BW); 
Measurement of air quality with SDS011 sensor and raspberry pi.","['air quality', 'sds011', 'pm2.5', 'pm10', 'raspberry pi', 'bme280', 'temperature', 'pressure', 'humidity']","['temperature', 'temp', 'humidity', 'bme280', 'pressure', 'bme280', 'air quality']"
7,1,838448,DTT,chrisyuk,DTT stream bitrate analysis,"['dvb-t', 'freeview', 'dvb', 'dtt']",[]
8,1,1622086,Wetter Hennesee,dl8dbn,Temperatursensor LoraWAN Hennesee,"['hennesee', 'amateurfunk sauerland', 'friedensglocken']",['temp']
9,1,2723786,æ_datalog_01,acusticæscolar,"datalogger with ESP32
Senseair S8 / BME680 / BH170/PMS7003/ I2C Decibel Sound Level Meter Module","['datalogger', 'acusticaescolar', 'confort360']","['co', 'sound', 'decibel']"
10,1,271958,Wetterstation Meschede,dl8dbn,Wetterstation mit ESP 8266,"['wetterstation', 'meschede', 'sauerland']",[]
11,1,3259214,Weather Report,mwa0000040104858,Esp8266  measurement sensor.,"['dht11', 'sensor']",['dht11']
12,1,3190432,EMBEDDED SYS IOT FOR...,mwa0000038072470,EMBEDDED SYS IOT FOR AGRICULTURE,['mykmutnb_ntp agriculture'],[]
13,1,3190420,EMBEDDED SYS IOT FOR...,mwa0000019318858,MOBILE DATA,"['mykmutnb_stn', 'agriculture']",[]
14,1,3232826,Weather,CodeCarter,Testing phase of Project Zeus will over see all environmental metrics.,"['weather', 'environment', 'data']",['ph']
15,1,1583390,Dare's Micropython E...,darethehair,Test BME280 with new NodeMCU code,"['bme280', 'weather', 'temperature', 'pressure', 'humidity', 'dewpoint', 'micropython', 'esp32']","['temperature', 'temp', 'humidity', 'bme280', 'pressure', 'bme280', 'co', 'mic']"
16,2,1595772,Sensoriamento_Ambiente,cefetleo,Canal para teste de Disciplina de IIoT,"['temperatura', 'umidade', 'openweather']",['temp']
17,2,1350261,CO2 Measurement,tthosta,"Location: Germany (BW); 
Measurement of air quality with  ccs811 sensor and raspberry pi.","['raspberry pi', 'bme280', 'temperature', 'pressure', 'humidity', 'ds18b20', 'ccs811', 'mh-z19']","['temperature', 'temp', 'humidity', 'bme280', 'pressure', 'bme280', 'air quality']"
18,2,2353644,Estacion Meteorologi...,mbarchetta54,Establecimiento EL MIMBRAL,"['barchetta', 'marcelo']",[]
19,2,3254686,ArduinoSolar,mwa0000019456326,Monitoreo de panel solar,['panelsolar'],[]
20,2,3229434,Flood monitor in City A,mwa0000040148415,City A: Flood status,[],[]
21,2,3251747,METAHOLOWAY,thetaleszafran,RMC Metaholoway Data Website,[],[]
22,2,1292004,EDM ROOM,mwa0000018733998,EFICIENCIA EN MAQUINAS,['uptime'],[]
23,2,938453,Lämpötilat Alakerta,mwa0000017101863,Lämpötilat Röykkä,['temperature'],"['temperature', 'temp']"
24,2,694112,MP_SMOG_Nettigo,misiopie,Nettigo Luftdaten-like SMOG sensor,"['luftdaten', 'nettigo']",[]
25,2,2601398,IOT PLANT MONITORING...,mwa0000033944826,an iot plant monitoring device,"['iot', 'plant', 'sensor', 'monitoring']",[]
26,2,2462841,Solar System Monitoring,mwa0000029769359,This channel aims to monitor the performance of a mini solar panel system and its capability in power and energy generation to meet load demands.,"['monitoring', 'solar power', 'power generation', 'energy', 'solar', 'load']","['power', 'energy']"
27,2,424836,Wondecla Power,thingspeak1953,"Off Grid Solar & Wind system.
15 min average readings plotted here.
5 min readings available at PVOutput.","['wondecla', 'solar', 'wind', 'off grid']",[]
28,2,678821,Hive Monitor,awround,Bee hive monitor,"['beehive', 'hive', 'monitor']",[]
29,2,1677046,Temperature Sensor,smarthsalaria,LABMST DIOT LAB 4538,"['matlab', 'api']",[]
30,2,951795,Medida de Punto de R...,profedetecno,Utiliza los datos ambientales para determinar el punto de rocío.,"['punto de rocío', 'temperatura', 'humedad', 'san vicente', 'profedetecno']",['temp']
31,3,1220825,Lampotila,mwa0000020240855,Seurattavat lampotilat,"['m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'm8']",[]
32,3,518150,Data test channel,tthosta,Location: Germany (BW);,['test data'],[]
33,3,3147069,Dew Point Measurement,khWon25,"온도와 습도를다른 채널에서 읽어와 이슬점을 계산, 기록","['korea', 'inu', 'dew point']",[]
34,3,8203,Simba wa Yuda water ...,TonyZurolo,Water Level Sensor at Simba wa Yuda academy in Tanzania,['mobiledata'],"['water', 'water level']"
35,3,1807857,Paul's Test,mwa0000026824699,Training setup,['weather'],['rain']
36,3,582000,Chiara's Tulipano,charli0d,Those are the marvelous Chiara's Tulips!!,"['dew', 'sensor', 'humidity', 'temperature']","['temperature', 'temp', 'humidity']"
37,3,957670,Bienenwaage Frauenberg,mwa0000017249719,Frauenberg/Brunn,['beelogger'],[]
38,3,701593,Des Gartenimkers Sto...,jokuder,Beelogger #1,['beelogger'],[]
39,3,3263293,Proyecto IoT 2mnt Co...,mwa0000040454522,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co', 'ldr']"
40,3,3263298,PROYECTO Iot Sánchez...,mwa0000040454593,RECOGIDA DE DATOS DE LOS SENSORES DE TEMPERATURA,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co']"
41,3,3263307,Proyecto IoT Sergio ...,mwa0000040454675,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,"['iot', '60/3_ieslafuensanta']","['temp', 'co', 'ldr']"
42,3,3263297,proyecto IOT 2 mnt  ...,mwa0000040454561,recogida de datos de sensores ldr con wemos d1 mini,"['iot', '60et3 ieslafuensanta']","['co', 'ldr']"
43,3,3263303,Proyecto Iot 2mnt Dí...,mwa0000040454539,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co', 'ldr']"
44,3,3263302,Proyecto IoT 2mnt Pe...,mwa0000040454602,Recogida de datos sensores de proyecto IoT,['ies la fuensanta iot 60et3'],['co']
45,3,3263295,Proyecto Iot 2 mante...,mwa0000040454535,recogida de datos de ldr y sensor de temperatura con wemos d1,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co', 'ldr']"
46,4,3263292,Proyecto IoT 2ºMNT_G...,mwa0000040454526,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 Mini,"['iot', '60 et3', 'ies la fuensanta']","['temp', 'co', 'ldr']"
47,4,3263294,Proyecto IOT 2ºMante...,mwa0000040454524,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,"['iot', '60/3_ieslafuensanta']","['temp', 'co', 'ldr']"
48,4,3263296,Proyecto IoT 2mnt ló...,mwa0000040454570,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini.,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co', 'ldr']"
49,4,284201,Proyecto IoT 2mnt ap...,malonsorosa,RECOGIDA DE DATOS DE LOS SENSORES DE temperatura y LDR con wemosD1 mini,"['iot', '60et3', 'ieslafuensanta']","['temp', 'co', 'ldr']"
50,4,1061276,Hamster Wheel,mwa0000018515788,What is Paddy up to  when we're not watching?,"['hamster', 'raspberry pi']",[]
51,4,3237209,RFID Door Access Demo,mwa0000039765402,"Customized access levels allow only authorized employees to enter sensitive areas, improving security and workflow efficiency, while still offering faster and more convenient access without requiring extensive development or integration, making it a balan","['rfid', 'door access', 'arduino', 'security', 'demo']","['co', 'rfid']"
